Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001a0E7iAAE,9/2/2019,4/30/2023,5/1/2020,Renewable,1
0013a00001a0EPhAAM,3/1/2019,2/28/2021,3/1/2020,Renewable,1
0013a00001a0KHEAA2,3/28/2019,3/28/2022,3/28/2019,Renewable,1
0013a00001a0KJPAA2,9/29/2017,6/28/2023,11/26/2021,Renewable,1
0013a00001bpcdHAAQ,3/1/2019,,2/12/2021,Evergreen,0
0013a00001bpcYqAAI,10/1/2018,2/28/2025,12/1/2021,Renewable,1
0013a00001bpdauAAA,7/21/2017,,7/21/2017,Evergreen,0
0013a00001bpdbTAAQ,2/18/2019,8/17/2023,4/16/2021,Renewable,1
0013a00001bpdoaAAA,4/12/2019,,4/12/2019,Evergreen,0
0013a00001bpe52AAA,11/16/2016,,3/9/2021,Evergreen,0
0013a00001bpe94AAA,7/2/2019,7/2/2023,7/3/2020,Renewable,1
0013a00001bpeBoAAI,2/14/2017,12/13/2020,12/14/2020,Evergreen,0
0013a00001bpeBUAAY,4/19/2018,,4/19/2018,Evergreen,0
0013a00001bpeC3AAI,8/31/2018,,8/31/2018,Evergreen,0
0013a00001bpeD6AAI,1/31/2017,11/27/2023,2/4/2021,Renewable,1
0013a00001bpeDLAAY,4/3/2018,,4/3/2018,Evergreen,0
0013a00001bpeHwAAI,9/30/2019,9/29/2022,9/30/2019,Renewable,1
0013a00001bpeOsAAI,7/2/2019,12/1/2021,12/2/2021,Renewable,1
0013a00001bpeP2AAI,7/23/2019,,2/5/2021,Evergreen,0
0013a00001bpf6LAAQ,2/7/2018,5/13/2021,5/14/2021,Evergreen,0
0013a00001bpfC8AAI,7/19/2017,4/18/2024,4/19/2021,Evergreen,0
0013a00001bpfeiAAA,5/19/2017,9/18/2024,9/19/2021,Renewable,1
0013a00001bpfhtAAA,7/2/2018,7/2/2023,5/19/2021,Renewable,1
0013a00001bpfiwAAA,11/10/2016,3/9/2021,3/10/2021,Evergreen,0
0013a00001bpfnrAAA,6/5/2018,,6/5/2018,Evergreen,0
0013a00001bpfnSAAQ,7/19/2019,6/19/2020,7/19/2019,Evergreen,0
0013a00001bpfWoAAI,4/28/2019,,4/28/2019,Evergreen,0
0013a00001bpfYkAAI,3/8/2019,,3/8/2019,Evergreen,0
