Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,placeholder
0013a00001btlvzAAA,11/1/2021,10/31/2024,11/1/2021,Renewable,1
0013a00001btlzTAAQ,2/14/2019,2/13/2023,2/14/2021,Renewable,1
0013a00001btM0LAAU,10/16/2019,10/15/2022,10/16/2019,Renewable,1
0013a00001btM14AAE,11/27/2019,11/26/2022,11/27/2019,Renewable,1
0013a00001btM1EAAU,12/23/2019,6/22/2024,12/21/2021,Renewable,1
0013a00001btM3GAAU,9/28/2020,9/27/2024,9/28/2021,Renewable,1
0013a00001btm4dAAA,12/2/2016,,12/2/2016,Evergreen,0
0013a00001btM4SAAU,11/13/2019,11/12/2022,11/13/2019,Renewable,1
0013a00001btM7HAAU,12/18/2019,12/17/2020,12/18/2019,Renewable,1
0013a00001btM93AAE,10/16/2019,10/15/2022,10/16/2019,Renewable,1
0013a00001btMAVAA2,11/5/2021,11/4/2022,11/5/2021,Renewable,1
0013a00001btmBvAAI,8/13/2021,8/12/2024,8/13/2021,Renewable,1
0013a00001btMHbAAM,10/16/2019,10/15/2023,10/16/2020,Renewable,1
0013a00001btmjsAAA,4/11/2016,,3/11/2021,Evergreen,0
0013a00001btmuaAAA,11/17/2021,11/16/2023,11/17/2021,Renewable,1
0013a00001btn5cAAA,7/11/2019,2/2/2021,2/3/2021,Evergreen,0
0013a00001btn5PAAQ,2/28/2020,2/27/2021,2/28/2020,Renewable,1
0013a00001btn78AAA,11/23/2018,11/19/2019,11/23/2018,Evergreen,0
0013a00001btnE0AAI,2/21/2020,2/20/2023,2/21/2022,Renewable,1
0013a00001btnfoAAA,11/18/2016,7/16/2021,7/17/2020,Renewable,1
0013a00001btnfOAAQ,12/9/2019,,12/9/2019,Evergreen,0
0013a00001btnG6AAI,12/11/2019,1/2/2023,1/3/2020,Renewable,1
0013a00001btNGLAA2,9/3/2020,9/3/2021,9/3/2020,Renewable,1
0013a00001btnH1AAI,11/23/2020,11/22/2023,10/25/2021,Renewable,1
0013a00001btni7AAA,5/11/2021,5/10/2023,5/11/2021,Renewable,1
0013a00001btNoYAAU,10/25/2019,10/24/2022,10/25/2019,Renewable,1
0013a00001btnQMAAY,1/10/2017,,1/10/2017,Evergreen,0
0013a00001btnQwAAI,10/2/2019,10/1/2024,10/2/2021,Renewable,1
0013a00001btnSRAAY,12/31/2021,2/28/2025,3/1/2022,Renewable,1
0013a00001btnX4AAI,1/5/2017,8/4/2023,8/5/2020,Renewable,1
0013a00001btnXxAAI,9/21/2017,1/20/2023,1/21/2022,Renewable,1
0013a00001btNynAAE,1/2/2020,,3/8/2021,Evergreen,0
0013a00001btO2XAAU,10/17/2019,11/21/2023,11/22/2020,Renewable,1
0013a00001btOEcAAM,9/14/2020,9/13/2023,9/14/2020,Renewable,1
0013a00001btOFvAAM,10/23/2019,4/22/2023,6/29/2021,Renewable,1
0013a00001btOLjAAM,10/24/2019,2/23/2022,2/28/2020,Renewable,1
0013a00001btOPCAA2,3/1/2021,2/29/2024,3/1/2021,Renewable,1
0013a00001btP5PAAU,10/24/2019,,10/24/2019,Evergreen,0
0013a00001btP6DAAU,12/2/2019,11/1/2020,12/6/2020,Renewable,1
0013a00001btPAoAAM,12/30/2019,12/29/2020,12/30/2019,Renewable,1
0013a00001btPMoAAM,11/8/2019,8/7/2021,8/8/2021,Renewable,1
0013a00001btPRjAAM,10/18/2019,10/17/2022,10/18/2019,Renewable,1
0013a00001btQC2AAM,2/14/2017,,1/15/2021,Evergreen,0
0013a00001btTcuAAE,10/21/2019,10/20/2023,10/21/2020,Renewable,1
0013a00001btTgwAAE,10/29/2019,10/28/2022,10/29/2019,Renewable,1
0013a00001btTL9AAM,10/22/2019,10/21/2024,10/22/2021,Renewable,1
0013a00001btTmuAAE,10/21/2019,10/20/2022,10/21/2019,Renewable,1
0013a00001btTvrAAE,10/31/2019,10/30/2023,10/31/2020,Renewable,1
0013a00001btVaYAAU,11/25/2019,11/24/2022,11/25/2019,Renewable,1
0013a00001btVg7AAE,11/7/2019,11/17/2022,11/18/2019,Renewable,1
0013a00001btX5AAAU,9/9/2020,9/8/2023,3/10/2021,Renewable,1
0013a00001btZZAAA2,11/22/2019,6/14/2024,6/15/2021,Renewable,1
0013a00001eTbpNAAS,11/5/2019,11/4/2022,11/5/2021,Renewable,1
0013a00001eTbYIAA0,11/4/2019,11/4/2022,11/4/2019,Renewable,1
0013a00001eTcMYAA0,8/19/2020,,8/19/2020,Evergreen,0
0013a00001eTcOeAAK,12/30/2019,12/29/2022,12/30/2019,Renewable,1
0013a00001eTcOPAA0,3/24/2021,3/23/2024,3/24/2021,Renewable,1
0013a00001eTcW4AAK,11/6/2019,11/5/2022,11/6/2019,Renewable,1
0013a00001eTdHCAA0,12/31/2020,12/30/2023,12/31/2020,Renewable,1
0013a00001eTdI0AAK,7/30/2020,7/29/2023,7/30/2020,Renewable,1
0013a00001eTdtNAAS,11/18/2019,1/17/2023,1/4/2021,Renewable,1
0013a00001eTe76AAC,1/1/2020,5/28/2020,5/29/2020,Renewable,1
0013a00001eTe85AAC,11/5/2019,,11/5/2019,Evergreen,0
0013a00001eTe8EAAS,11/15/2019,11/14/2022,11/15/2019,Renewable,1
0013a00001eTeCLAA0,12/2/2019,11/1/2020,6/2/2022,Renewable,1
0013a00001eTeHVAA0,11/22/2019,11/21/2022,11/22/2019,Renewable,1
0013a00001eTeKeAAK,11/2/2018,11/1/2023,11/2/2020,Renewable,1
0013a00001eTfBaAAK,11/8/2019,2/5/2020,2/6/2020,Evergreen,0
0013a00001eTfCTAA0,3/11/2020,3/10/2023,3/11/2020,Renewable,1
0013a00001eTffeAAC,11/6/2019,10/5/2021,10/6/2021,Evergreen,0
0013a00001eTfhpAAC,11/7/2019,11/6/2022,11/7/2019,Renewable,1
0013a00001eTfjqAAC,12/16/2019,1/15/2025,1/16/2023,Renewable,1
0013a00001eTfp0AAC,12/3/2019,11/28/2021,11/29/2020,Renewable,1
0013a00001eTfSBAA0,11/8/2019,,11/8/2019,Evergreen,0
0013a00001eTfTOAA0,11/4/2019,11/3/2022,12/23/2019,Renewable,1
0013a00001eTfxdAAC,11/21/2019,1/12/2023,1/13/2020,Renewable,1
0013a00001eTgfMAAS,4/1/2020,3/31/2023,4/1/2020,Renewable,1
0013a00001eTgL3AAK,11/7/2019,11/11/2022,11/12/2019,Renewable,1
0013a00001eThtPAAS,2/23/2015,,2/23/2015,Evergreen,0
0013a00001eTI8kAAG,10/28/2019,10/27/2020,10/28/2019,Renewable,1
0013a00001eTiDjAAK,6/13/2016,11/14/2022,3/18/2021,Renewable,1
0013a00001eTIDpAAO,11/7/2019,11/6/2023,11/7/2020,Renewable,1
0013a00001eTIeBAAW,11/1/2019,10/31/2022,1/13/2021,Renewable,1
0013a00001eTiJ8AAK,12/2/2019,6/1/2023,6/2/2022,Renewable,1
0013a00001eTIOnAAO,1/22/2020,1/21/2023,1/22/2020,Renewable,1
0013a00001eTIPgAAO,11/14/2019,11/13/2022,11/14/2019,Renewable,1
0013a00001eTIPvAAO,11/27/2020,11/26/2023,11/27/2020,Renewable,1
0013a00001eTIqbAAG,11/26/2019,11/25/2022,11/26/2019,Renewable,1
0013a00001eTiVEAA0,9/2/2020,9/1/2023,6/21/2021,Renewable,1
0013a00001eTJfZAAW,10/31/2019,,10/31/2019,Evergreen,0
0013a00001eTjI3AAK,11/20/2019,11/20/2023,11/21/2020,Renewable,1
0013a00001eTJPdAAO,2/25/2019,1/24/2025,4/25/2022,Renewable,1
0013a00001eTK5bAAG,10/29/2019,10/28/2022,10/29/2019,Renewable,1
0013a00001eTKBtAAO,11/6/2019,11/5/2022,11/6/2019,Renewable,1
0013a00001eTkJaAAK,7/1/2021,6/30/2024,7/1/2021,Renewable,1
0013a00001eTknBAAS,11/8/2019,,11/8/2019,Evergreen,0
0013a00001eTkWeAAK,9/4/2020,9/3/2023,9/4/2020,Renewable,1
0013a00001eTkxwAAC,11/11/2019,,11/11/2019,Evergreen,0
0013a00001eTlesAAC,11/12/2019,11/11/2023,11/12/2020,Renewable,1
0013a00001eToAvAAK,11/29/2019,11/28/2022,11/29/2019,Renewable,1
0013a00001eToL5AAK,7/26/2017,,7/26/2017,Evergreen,0
0013a00001eToPlAAK,10/4/2019,10/3/2022,10/4/2021,Renewable,1
0013a00001eTQ9PAAW,10/29/2019,10/29/2023,1/30/2021,Renewable,1
0013a00001eTqdIAAS,10/31/2019,,10/31/2019,Evergreen,0
0013a00001eTrkwAAC,11/12/2019,12/27/2023,11/12/2020,Renewable,1
0013a00001eTRnSAAW,3/4/2020,2/1/2021,3/4/2020,Renewable,1
0013a00001eTRqqAAG,10/30/2019,10/29/2022,10/30/2019,Renewable,1
0013a00001eTrVCAA0,11/13/2019,11/12/2022,11/13/2019,Renewable,1
0013a00001eTrYqAAK,11/13/2019,11/12/2023,8/5/2021,Renewable,1
0013a00001eTrZ5AAK,12/12/2019,12/11/2022,12/12/2019,Renewable,1
0013a00001eTsbWAAS,11/19/2019,11/18/2022,11/19/2019,Renewable,1
0013a00001eTSKDAA4,1/27/2022,2/24/2025,2/27/2022,Renewable,1
0013a00001eTSLGAA4,11/18/2019,11/17/2022,11/18/2019,Renewable,1
0013a00001eTSOFAA4,10/30/2019,10/29/2022,10/30/2019,Renewable,1
0013a00001eTSQVAA4,1/16/2020,8/15/2024,8/16/2021,Renewable,1
0013a00001eTSR4AAO,11/26/2019,11/25/2022,11/26/2019,Renewable,1
0013a00001eTsx9AAC,11/19/2019,11/18/2022,11/19/2019,Renewable,1
0013a00001eTt2SAAS,9/3/2020,9/2/2023,3/18/2021,Renewable,1
0013a00001eTt7rAAC,11/12/2019,11/11/2022,11/12/2019,Renewable,1
0013a00001eTt9YAAS,11/12/2019,11/12/2022,11/12/2019,Renewable,1
0013a00001eTu62AAC,11/14/2019,11/13/2020,11/14/2019,Renewable,1
0013a00001eTu6CAAS,11/19/2019,12/15/2022,12/15/2021,Renewable,1
0013a00001eTuj3AAC,11/26/2019,11/25/2023,11/26/2020,Renewable,1
0013a00001eTuk6AAC,11/13/2019,10/17/2021,10/18/2021,Renewable,1
0013a00001eTuOeAAK,11/13/2019,,3/8/2021,Evergreen,0
0013a00001eTUqFAAW,11/6/2019,11/5/2022,1/6/2022,Renewable,1
0013a00001eTuWTAA0,11/13/2019,,11/13/2019,Evergreen,0
0013a00001eTv5JAAS,11/22/2019,11/21/2024,11/22/2021,Renewable,1
0013a00001eTV7BAAW,11/30/2020,11/29/2023,6/29/2021,Renewable,1
0013a00001eTVa1AAG,5/1/2020,4/30/2023,3/15/2021,Renewable,1
0013a00001eTvF9AAK,11/13/2019,,11/13/2019,Evergreen,0
0013a00001eTVLwAAO,1/4/2020,3/3/2023,1/4/2020,Renewable,1
0013a00001eTX8xAAG,7/3/2019,5/30/2023,5/31/2020,Renewable,1
0013a00001eTXeFAAW,11/1/2019,10/31/2022,11/1/2019,Renewable,1
0013a00001eTXSiAAO,11/1/2019,11/1/2023,11/2/2020,Renewable,1
0013a00001eTxtNAAS,11/15/2019,11/14/2022,10/12/2021,Renewable,1
0013a00001eTy3gAAC,11/15/2019,11/14/2022,1/25/2022,Renewable,1
0013a00001eTy6kAAC,11/15/2019,11/14/2022,11/15/2019,Renewable,1
0013a00001eTy6uAAC,12/4/2019,12/3/2024,12/4/2021,Renewable,1
0013a00001eTy7OAAS,11/15/2019,11/14/2022,11/15/2019,Renewable,1
0013a00001eTy8vAAC,8/31/2021,1/24/2024,1/25/2022,Renewable,1
0013a00001eTyIlAAK,10/9/2020,,10/9/2020,Evergreen,0
0013a00001eTYKGAA4,9/16/2020,9/15/2023,9/16/2020,Renewable,1
0013a00001eTyLaAAK,11/14/2019,11/13/2022,11/14/2019,Renewable,1
0013a00001eTzEWAA0,11/22/2019,11/21/2022,11/22/2019,Renewable,1
0013a00001eU0dWAAS,11/18/2019,11/17/2022,11/18/2019,Renewable,1
0013a00001eU0e5AAC,6/5/2020,6/4/2022,6/5/2020,Renewable,1
0013a00001eU0oiAAC,11/19/2019,11/18/2022,11/19/2019,Renewable,1
0013a00001eU15xAAC,1/28/2020,1/27/2023,1/28/2020,Renewable,1
0013a00001eU1DEAA0,11/15/2019,11/14/2022,12/15/2019,Renewable,1
0013a00001eU1gCAAS,9/29/2020,9/28/2023,9/29/2020,Renewable,1
0013a00001eU1ITAA0,2/18/2020,2/17/2023,2/18/2020,Renewable,1
0013a00001eU1V8AAK,10/28/2021,10/27/2024,10/28/2021,Renewable,1
0013a00001eU1WLAA0,1/10/2020,1/9/2024,1/10/2021,Renewable,1
0013a00001eU1YvAAK,2/21/2020,2/20/2023,2/21/2020,Renewable,1
0013a00001eU7uYAAS,11/20/2019,,11/20/2019,Evergreen,0
0013a00001eUdjzAAC,11/21/2019,11/20/2022,5/21/2021,Renewable,1
0013a00001eUdNrAAK,11/20/2019,2/27/2023,2/28/2020,Renewable,1
0013a00001eUdZmAAK,1/6/2020,7/5/2023,1/6/2020,Renewable,1
0013a00001eUfVsAAK,11/20/2019,,11/20/2019,Evergreen,0
0013a00001eUfYIAA0,11/19/2019,11/19/2023,11/20/2020,Renewable,1
0013a00001eUfZ6AAK,11/19/2019,11/18/2022,11/22/2019,Renewable,1
0013a00001eUgbaAAC,11/21/2019,,11/21/2019,Evergreen,0
0013a00001eUhASAA0,12/13/2019,12/15/2022,2/16/2020,Renewable,1
0013a00001eUhKgAAK,12/23/2019,1/22/2023,12/23/2019,Renewable,1
0013a00001eUiNYAA0,10/23/2019,6/23/2024,6/24/2021,Renewable,1
0013a00001eUIyvAAG,2/11/2021,1/31/2023,12/14/2021,Renewable,1
0013a00001eUj5SAAS,11/27/2019,12/8/2020,12/9/2019,Renewable,1
0013a00001eUjD2AAK,12/11/2019,5/21/2024,3/22/2024,Renewable,1
0013a00001eUjFDAA0,11/27/2019,7/26/2021,7/27/2021,Renewable,1
0013a00001eUjJGAA0,11/22/2019,11/21/2024,11/22/2021,Renewable,1
0013a00001eUJKFAA4,12/3/2019,12/3/2022,3/17/2021,Renewable,1
0013a00001eUjQlAAK,11/21/2019,11/20/2022,11/21/2019,Renewable,1
0013a00001eUJVnAAO,12/24/2019,12/23/2020,12/24/2019,Renewable,1
0013a00001eUJvUAAW,11/18/2019,11/17/2022,11/18/2019,Renewable,1
0013a00001eUjX5AAK,11/21/2019,3/20/2024,3/21/2021,Renewable,1
0013a00001eUkUyAAK,6/30/2021,6/29/2024,6/30/2021,Renewable,1
0013a00001eUlgfAAC,11/29/2019,11/28/2022,11/29/2019,Renewable,1
0013a00001eUlx6AAC,11/25/2019,11/24/2022,2/2/2021,Renewable,1
0013a00001eUlzbAAC,11/22/2019,11/21/2022,11/22/2019,Renewable,1
0013a00001eUlZbAAK,11/28/2019,11/27/2022,2/25/2021,Renewable,1
0013a00001eUm8aAAC,11/22/2019,11/21/2022,11/22/2019,Renewable,1
0013a00001eUm9JAAS,12/18/2019,12/17/2022,12/18/2019,Renewable,1
0013a00001eUmHeAAK,6/1/2020,5/31/2022,12/1/2020,Renewable,1
0013a00001eUmUfAAK,11/22/2019,11/21/2022,11/22/2019,Renewable,1
0013a00001eUmXFAA0,11/22/2019,11/21/2024,11/22/2021,Renewable,1
0013a00001eUmXyAAK,12/3/2019,12/2/2022,12/3/2019,Renewable,1
0013a00001eUmYNAA0,12/12/2019,12/11/2022,1/25/2021,Renewable,1
0013a00001eUN7dAAG,11/20/2019,,11/20/2019,Evergreen,0
0013a00001eUp5iAAC,5/24/2020,5/23/2023,10/25/2021,Renewable,1
0013a00001eUp6MAAS,2/25/2020,2/24/2023,2/25/2020,Renewable,1
0013a00001eUpbxAAC,12/6/2019,6/5/2023,12/6/2019,Renewable,1
0013a00001eUpT0AAK,11/25/2019,11/24/2022,11/25/2019,Renewable,1
0013a00001eUpTAAA0,11/29/2019,11/28/2022,11/29/2019,Renewable,1
0013a00001eUq5zAAC,11/26/2019,11/25/2022,3/10/2021,Renewable,1
0013a00001eUq7vAAC,11/25/2019,11/24/2022,11/25/2019,Renewable,1
0013a00001eUqhpAAC,1/13/2020,7/12/2023,1/13/2020,Renewable,1
0013a00001eUqo7AAC,11/28/2019,,11/28/2019,Evergreen,0
0013a00001eUqy4AAC,2/2/2021,5/1/2024,5/2/2023,Renewable,1
0013a00001eUrKFAA0,3/20/2020,5/19/2023,1/7/2021,Renewable,1
0013a00001eUrQIAA0,11/27/2019,11/26/2022,11/27/2019,Renewable,1
0013a00001eUrZKAA0,11/26/2019,11/25/2022,11/26/2019,Renewable,1
0013a00001eUscRAAS,11/28/2019,11/27/2021,11/28/2020,Renewable,1
0013a00001eUsSbAAK,12/27/2019,6/30/2023,9/24/2021,Renewable,1
0013a00001eUsVGAA0,11/29/2019,11/28/2022,11/29/2019,Renewable,1
0013a00001eUswlAAC,11/27/2019,11/26/2022,11/27/2019,Renewable,1
0013a00001eUsy3AAC,5/13/2020,4/12/2023,5/13/2020,Renewable,1
0013a00001eUszpAAC,11/27/2019,11/26/2022,11/27/2019,Renewable,1
0013a00001eUt2KAAS,11/27/2019,11/26/2022,11/27/2019,Renewable,1
0013a00001eUt3DAAS,11/27/2019,11/26/2022,11/27/2019,Renewable,1
0013a00001eUtaZAAS,11/27/2019,11/26/2022,11/27/2019,Renewable,1
0013a00001eUtqZAAS,9/6/2018,1/5/2024,10/25/2021,Renewable,1
0013a00001eUun4AAC,12/6/2019,12/5/2022,12/6/2019,Renewable,1
0013a00001eUwqWAAS,12/4/2019,12/3/2022,1/1/2021,Renewable,1
0013a00001eUx1KAAS,12/5/2019,12/4/2022,12/5/2019,Renewable,1
0013a00001eUx2SAAS,12/4/2019,12/3/2022,12/4/2019,Renewable,1
0013a00001eUx3uAAC,12/3/2019,12/2/2022,12/3/2019,Renewable,1
0013a00001eUxCaAAK,1/23/2020,1/22/2024,1/31/2022,Renewable,1
0013a00001eUxDTAA0,11/29/2019,11/28/2022,11/29/2019,Renewable,1
0013a00001eV18nAAC,12/2/2019,12/1/2022,12/2/2019,Renewable,1
0013a00001eV2oKAAS,12/9/2019,12/8/2023,12/9/2022,Renewable,1
0013a00001eV2otAAC,12/2/2019,12/1/2022,1/4/2021,Renewable,1
0013a00001eV5IpAAK,12/3/2019,,12/3/2019,Evergreen,0
0013a00001eV5JOAA0,2/19/2021,2/18/2024,2/19/2021,Renewable,1
0013a00001eV5qzAAC,12/5/2019,12/4/2022,12/5/2019,Renewable,1
0013a00001eV5TdAAK,1/13/2020,,1/13/2020,Evergreen,0
0013a00001eV80vAAC,12/6/2019,12/5/2022,6/24/2021,Renewable,1
0013a00001eV8doAAC,12/6/2019,12/5/2022,12/6/2019,Renewable,1
0013a00001eV8YJAA0,12/6/2019,8/24/2023,8/25/2020,Renewable,1
0013a00001eVdenAAC,12/6/2019,12/5/2022,12/6/2019,Renewable,1
0013a00001eVDrAAAW,12/4/2019,12/3/2022,11/6/2021,Renewable,1
0013a00001eVdt3AAC,12/6/2019,1/5/2025,1/6/2022,Renewable,1
0013a00001eVemYAAS,8/26/2020,1/25/2021,1/26/2021,Renewable,1
0013a00001eVEptAAG,10/9/2018,10/14/2024,10/9/2021,Renewable,1
0013a00001eVF1aAAG,1/6/2020,1/5/2024,1/6/2021,Renewable,1
0013a00001eVfNRAA0,12/6/2019,3/5/2024,4/6/2021,Renewable,1
0013a00001eVfYJAA0,12/16/2019,6/15/2023,6/16/2022,Renewable,1
0013a00001eVG1gAAG,1/10/2020,1/9/2024,1/10/2021,Renewable,1
0013a00001eVKETAA4,12/5/2019,12/4/2022,12/5/2019,Renewable,1
0013a00001eVKHNAA4,5/13/2020,2/2/2023,2/15/2021,Renewable,1
0013a00001eVLOGAA4,12/9/2019,3/16/2020,12/9/2019,Evergreen,0
0013a00001eVM0AAAW,12/6/2019,4/5/2024,11/5/2021,Renewable,1
0013a00001eVNlbAAG,1/1/2020,10/31/2020,11/1/2020,Renewable,1
0013a00001eVPjcAAG,12/12/2019,12/11/2022,12/12/2019,Renewable,1
0013a00001eVTHaAAO,12/5/2019,,12/5/2019,Evergreen,0
0013a00001eVUiNAAW,6/30/2020,6/29/2023,10/21/2020,Renewable,1
0013a00001eVYyaAAG,12/13/2019,12/12/2022,12/13/2019,Renewable,1
0013a00001eW0I2AAK,1/15/2020,7/14/2023,7/15/2022,Renewable,1
0013a00001eW1L2AAK,5/13/2020,5/12/2023,5/13/2020,Renewable,1
0013a00001eW22BAAS,9/17/2020,9/16/2023,9/17/2020,Renewable,1
0013a00001eW26DAAS,12/9/2019,12/9/2023,12/10/2020,Renewable,1
0013a00001eW2fSAAS,1/15/2020,9/30/2023,10/1/2022,Renewable,1
0013a00001eW3LYAA0,2/1/2021,1/31/2022,2/1/2021,Renewable,1
0013a00001eW90FAAS,1/30/2020,1/29/2025,1/30/2022,Renewable,1
0013a00001eWajYAAS,12/12/2019,12/11/2022,12/12/2019,Renewable,1
0013a00001eWbl1AAC,12/24/2019,12/23/2022,12/24/2019,Renewable,1
0013a00001eWcMYAA0,4/1/2020,9/30/2023,4/1/2020,Renewable,1
0013a00001eWdCFAA0,1/7/2020,1/6/2024,1/7/2021,Renewable,1
0013a00001eWdloAAC,12/18/2019,12/17/2022,12/18/2019,Renewable,1
0013a00001eWE2RAAW,12/11/2020,12/10/2021,12/11/2020,Renewable,1
0013a00001eWGPmAAO,12/12/2019,12/11/2022,12/12/2019,Renewable,1
0013a00001eWh3rAAC,1/27/2020,1/26/2023,1/27/2020,Renewable,1
0013a00001eWHUJAA4,12/16/2019,,12/16/2019,Evergreen,0
0013a00001eWi0SAAS,12/13/2019,12/12/2022,12/13/2021,Renewable,1
0013a00001eWIePAAW,12/10/2019,12/9/2022,12/10/2019,Renewable,1
0013a00001eWLb6AAG,12/19/2019,2/18/2023,3/14/2021,Renewable,1
0013a00001eWmdBAAS,12/16/2019,12/15/2020,12/16/2019,Renewable,1
0013a00001eWmZYAA0,12/18/2019,12/17/2022,12/18/2019,Renewable,1
0013a00001eWp1TAAS,12/16/2019,12/15/2022,12/16/2021,Renewable,1
0013a00001eWSsHAAW,12/11/2019,12/10/2023,12/11/2020,Renewable,1
0013a00001eWSvGAAW,12/13/2019,12/12/2022,2/1/2021,Renewable,1
0013a00001eWTtGAAW,1/2/2020,,1/2/2020,Evergreen,0
0013a00001eWudGAAS,12/18/2019,12/17/2023,2/20/2022,Renewable,1
0013a00001eWUGjAAO,12/11/2019,12/10/2022,12/11/2019,Renewable,1
0013a00001eWUHcAAO,12/30/2019,12/29/2022,12/30/2019,Renewable,1
0013a00001eWuMBAA0,12/16/2019,12/15/2022,12/16/2019,Renewable,1
0013a00001eWUVFAA4,5/16/2018,,5/16/2018,Evergreen,0
0013a00001eWVdyAAG,12/11/2019,12/11/2020,12/11/2019,Renewable,1
0013a00001eWVZNAA4,12/19/2019,1/18/2023,12/19/2019,Renewable,1
0013a00001eWWIrAAO,12/11/2019,,12/11/2019,Evergreen,0
0013a00001eX0zjAAC,12/14/2019,12/13/2020,12/14/2019,Renewable,1
0013a00001eX1LyAAK,12/14/2019,12/13/2023,3/4/2021,Renewable,1
0013a00001eXCznAAG,12/15/2019,,12/15/2019,Evergreen,0
0013a00001eXG6sAAG,12/17/2019,12/16/2020,12/17/2019,Renewable,1
0013a00001eXI6dAAG,12/23/2019,12/22/2022,12/23/2019,Renewable,1
0013a00001eXI7vAAG,1/1/2020,6/30/2023,1/1/2020,Renewable,1
0013a00001eXISeAAO,2/3/2020,3/31/2023,2/3/2020,Renewable,1
0013a00001eXNXlAAO,12/19/2019,12/18/2022,1/5/2021,Renewable,1
0013a00001fkbmUAAQ,6/12/2020,6/11/2023,11/29/2021,Renewable,1
0013a00001fkdOhAAI,12/10/2016,,12/10/2016,Evergreen,0
0013a00001fkfcVAAQ,6/16/2020,6/15/2023,3/11/2021,Renewable,1
0013a00001fkfudAAA,5/29/2020,11/28/2020,11/29/2020,Renewable,1
0013a00001fkg99AAA,3/25/2019,3/25/2022,3/25/2019,Renewable,1
0013a00001fpcFYAAY,2/4/2021,2/3/2024,2/4/2021,Renewable,1
0013a00001fpcGgAAI,1/13/2020,,1/13/2020,Evergreen,0
0013a00001fpcOBAAY,3/9/2020,3/8/2023,3/9/2020,Renewable,1
0013a00001fpCOqAAM,12/17/2019,12/17/2023,12/18/2020,Renewable,1
0013a00001fpcSmAAI,1/16/2020,1/15/2023,4/18/2021,Renewable,1
0013a00001fpcZnAAI,12/19/2019,12/18/2022,12/19/2019,Renewable,1
0013a00001fpd3OAAQ,3/3/2021,3/2/2024,4/3/2021,Renewable,1
0013a00001fpEmsAAE,12/23/2019,2/13/2024,4/14/2021,Renewable,1
0013a00001fpeozAAA,1/15/2020,7/14/2023,7/15/2022,Renewable,1
0013a00001fpFLiAAM,12/17/2019,12/16/2024,12/17/2021,Renewable,1
0013a00001fpgeeAAA,12/20/2019,12/19/2022,12/20/2019,Renewable,1
0013a00001fpHrbAAE,12/19/2019,12/18/2022,12/19/2021,Renewable,1
0013a00001fpIiZAAU,12/17/2019,12/16/2022,12/17/2019,Renewable,1
0013a00001fpJlfAAE,12/17/2019,12/16/2022,2/8/2022,Renewable,1
0013a00001fplJLAAY,12/20/2019,12/19/2022,12/20/2019,Renewable,1
0013a00001fpn6KAAQ,12/23/2019,2/22/2022,12/23/2019,Renewable,1
0013a00001fpNvMAAU,1/28/2020,1/28/2024,1/29/2021,Renewable,1
0013a00001fpoi0AAA,12/31/2019,3/31/2024,4/1/2021,Renewable,1
0013a00001fpQ3JAAU,1/5/2018,9/18/2024,10/18/2021,Renewable,1
0013a00001fpQf8AAE,12/18/2019,12/17/2022,12/18/2019,Renewable,1
0013a00001fpQJHAA2,12/18/2019,12/18/2023,12/19/2020,Renewable,1
0013a00001fpqRpAAI,12/20/2019,12/20/2023,12/21/2020,Renewable,1
0013a00001fpRT3AAM,12/23/2019,12/22/2022,12/23/2019,Renewable,1
0013a00001fprzJAAQ,12/20/2019,12/19/2022,12/20/2019,Renewable,1
0013a00001fps0lAAA,2/5/2020,2/4/2023,2/5/2020,Renewable,1
0013a00001fpSb3AAE,12/18/2019,,12/18/2019,Evergreen,0
0013a00001fpUQlAAM,12/9/2020,12/8/2024,12/9/2021,Renewable,1
0013a00001fpVTbAAM,10/1/2021,12/31/2024,1/1/2022,Renewable,1
0013a00001fpZloAAE,1/17/2020,10/19/2023,10/20/2020,Renewable,1
0013a00001fpZpgAAE,12/23/2019,1/22/2020,12/23/2019,Renewable,1
0013a00001fq9k8AAA,3/31/2020,3/30/2024,3/31/2021,Renewable,1
0013a00001fqDvLAAU,7/1/2020,6/30/2023,11/10/2021,Renewable,1
0013a00001fqEs3AAE,1/2/2020,1/1/2023,3/11/2021,Renewable,1
0013a00001fqFHjAAM,3/23/2020,3/22/2023,3/23/2020,Renewable,1
0013a00001fqFI8AAM,1/27/2020,2/26/2023,9/9/2020,Renewable,1
0013a00001fqKHcAAM,12/24/2019,12/23/2024,12/24/2021,Renewable,1
0013a00001fqL4tAAE,12/26/2019,12/25/2020,12/26/2019,Renewable,1
0013a00001fqnfSAAQ,12/27/2019,12/28/2023,12/29/2020,Renewable,1
0013a00001fqNWEAA2,11/20/2020,,11/20/2020,Evergreen,0
0013a00001fqw22AAA,12/28/2019,12/28/2023,12/29/2020,Renewable,1
0013a00001fr5boAAA,12/31/2019,12/30/2020,12/31/2019,Renewable,1
0013a00001fr8TYAAY,2/12/2020,2/24/2025,2/25/2022,Renewable,1
0013a00001fr974AAA,1/23/2020,5/28/2024,5/29/2021,Renewable,1
0013a00001frbXAAAY,10/1/2020,11/30/2023,12/1/2020,Renewable,1
0013a00001frElxAAE,12/30/2019,12/29/2023,12/30/2020,Renewable,1
